"id","user_id","action","performed_on","action_date"
"1",NULL,"OTHER","User 1","2023-12-28 18:20:28"
"2",NULL,"OTHER","User 4","2023-12-28 18:22:41"
"3","1","OTHER","User test","2023-12-28 18:22:41"
"4","1","OTHER","User test","2023-12-28 18:24:22"
"5",NULL,"MODIFY","Role 11 added to user 4","2023-12-28 18:31:01"
"6","1","MODIFY","User test","2023-12-28 18:31:01"
"7","1","OTHER","Report 27","2023-12-28 19:04:42"
"8","1","CREATE","School Test","2024-01-02 19:10:57"
"9","1","CREATE","School Test","2024-01-03 20:08:39"
"10","1","CREATE","School Test","2024-01-03 20:16:18"
"11","1","DELETE","School ID: 7","2024-01-03 20:16:39"
"12",NULL,"LOGIN","User 1","2024-01-04 16:03:49"
"13",NULL,"LOGIN","User 1","2024-01-04 16:42:32"
"14",NULL,"MODIFY","Role 3 added to user 1","2024-01-04 16:42:49"
"15","1","MODIFY","User admin","2024-01-04 16:42:49"
"16","1","MODIFY","User admin","2024-01-04 18:31:57"
"17","3","MODIFY","Event","2024-01-05 15:20:47"
"18","3","MODIFY","Event","2024-01-05 15:20:47"
"19","3","MODIFY","Event","2024-01-05 15:20:47"
"20","2","MODIFY","Event","2024-01-05 15:21:13"
"21","2","MODIFY","Event","2024-01-05 15:21:13"
"22","2","MODIFY","Event","2024-01-05 15:21:13"
"23","1","OTHER","Event Slug for Event:TrailheadDX does not exist, creating slug","2024-01-05 16:42:25"
"24","1","CREATE","Event ID: 14 Event Name: TrailheadDX was sluggified with Slug: trailheaddx","2024-01-05 16:42:25"
"25","1","CREATE","Event ID: 14 Event Name: TrailheadDX","2024-01-05 16:42:25"
"26",NULL,"LOGIN","User 1","2024-01-08 16:25:40"
"27","1","DELETE","Event ID: 14 Event Name: TrailheadDX","2024-01-08 17:33:42"
"28","1","DELETE","Job ID: 6 Job Name: lorem","2024-01-08 19:44:14"
"29","1","DELETE","Job ID: 3 Job Name: Lorem Ipsum","2024-01-08 19:44:29"
"30","1","DELETE","Job ID: 4 Job Name: Lorem Ipsum 2","2024-01-08 19:44:34"
"31","1","OTHER","Report 28","2024-01-08 19:57:49"
"32","1","OTHER","Subject","2024-01-08 20:57:59"
"33","1","OTHER","Subject","2024-01-08 21:01:07"
"34","1","DELETE","Subject ID: 9 Subject Name: Test","2024-01-08 21:01:13"
"35","1","OTHER","major","2024-01-10 15:31:32"
"36","1","DELETE","Student ID: 4 Student Name: Jane Doe","2024-01-10 18:26:54"
"37","1","DELETE","Student ID: 3 Student Name: John Doe","2024-01-10 18:39:20"
"38","1","DELETE","Student ID: 7 Student Name: Mark Iplier","2024-01-10 18:57:04"
"39","1","DELETE","Major ID: 5 Major Name: Test","2024-01-10 19:19:19"
"40","1","DELETE","Degree Level ID: 10 Degree Level Name: BBA - Bachelor of Business Administration","2024-01-10 20:10:44"
"41",NULL,"MODIFY","Role 3 added to user 1","2024-01-10 20:14:19"
"42","1","MODIFY","User admin","2024-01-10 20:14:19"
"43",NULL,"MODIFY","Role 3 added to user 4","2024-01-11 18:50:13"
"44","1","MODIFY","User: test updated by User: 1","2024-01-11 18:50:13"
"45","1","MODIFY","User: test updated by User: 1","2024-01-11 18:50:21"
"46",NULL,"MODIFY","Role ID: 12Role Name: Test added to User ID: 4User Name: test","2024-01-11 18:54:44"
"47","1","MODIFY","User: test updated by User: 1","2024-01-11 18:54:44"
"48",NULL,"LOGIN","User 1","2024-01-12 14:47:06"
"49","1","DELETE","User ID: 4 User Name: test","2024-01-12 14:56:37"
"50","1","MODIFY","Role 1 was removed permission 55","2024-01-15 16:27:42"
"51","1","MODIFY","Role 1 was given permission 55","2024-01-15 16:27:49"
"52","1","MODIFY","Role 12 was removed permission 4","2024-01-15 18:04:46"
"53","1","DELETE","Role 12 was deleted","2024-01-15 18:04:46"
"54","1","MODIFY","Role 3 was given permission 57","2024-01-15 18:14:50"
"55","1","MODIFY","Role 3 was given permission 58","2024-01-15 18:14:50"
"56","1","DELETE","Report 12","2024-01-15 19:42:09"
"57","1","DELETE","Report 18","2024-01-15 20:08:19"
"58","1","DELETE","Report 20","2024-01-15 20:10:09"
"59","1","DELETE","Report 23","2024-01-15 20:11:56"
"60",NULL,"LOGIN","User 1","2024-01-15 20:37:19"
"61","1","DELETE","Event ID: 13 Event Name: new event with branding","2024-01-15 20:38:23"
"62","1","DELETE","Event ID: 11 Event Name: New Test Event","2024-01-15 20:38:32"
"63","1","OTHER","Event Slug for Event:WGU Job Faire already exists, incrementing slug","2024-01-15 20:39:02"
"64","1","MODIFY","Event ID: 1 Event Name: WGU Job Faire was sluggified with Slug: wgu-job-faire","2024-01-15 20:39:02"
"65","1","MODIFY","Event ID: 1 Event Name: WGU Job Faire","2024-01-15 20:39:02"
"66","1","CREATE","School Harvard University","2024-01-16 14:47:09"
"67","1","MODIFY","School Harvard University","2024-01-16 14:47:55"
"68","1","CREATE","School Stanford University","2024-01-16 14:49:48"
"69","1","CREATE","School Massachusetts Institute of Technology - MIT","2024-01-16 14:52:29"
"70","1","CREATE","School University of California, Berkeley","2024-01-16 14:53:40"
"71","1","MODIFY","School University of California, Berkeley","2024-01-16 14:54:56"
